index,artist,title,mood,Lyrics
452,ML453,Marius Müller-Westernhagen,Johnny W.,sad,"Johnny Walker, jetzt bist du wieder da
Johnny Walker, ich zahl dich gleich in bar
Johnny Walker, du hast mich nie enttäuscht
Johnny, du bist mein bester Freund

Johnny Walker, immer braungebrannt
Johnny Walker, mit dem Rücken an die Wand
Johnny Walker, komm giess dich nochmal ein
Johnny, lass dreizehn gerade sein

Ich hab's versucht, ich komme ohne dich nicht aus
Wozu auch? Du gefällst mir ja
Kein Mensch hört mir so gut zu wie du
Und Johnny, du lachst mich auch nie aus

Johnny Walker, ich glaub nicht an den Quatsch
Johnny Walker, du wärst 'ne Teufelsfratz
Johnny Walker, von mir aus röste mich
Johnny, ich fühl mich königlich

Ich hab's versucht, ich komme ohne dich nicht aus
Wozu auch? Du gefällst mir ja
Kein Mensch hört mir so gut zu wie du
Und Johnny, du lachst mich auch nie aus

Johnny Walker, la la la la la
Johnny Walker, la la la la la
Johnny Walker, du hast mich nie enttäuscht
Johnny, du bist mein bester Freund
Johnny, du bist mein bester Freund
Johnny, du bist mein bester Freund"
453,ML454,The Acacia Strain,Demolishor,angry,"Destroy
Her body was destroyed
If you thought you were going to walk away from this without a scratch
You were wrong
You're going to taste my DNA whether you like it or not
Beg for your life
Or don't open your mouth
Your mother warned you about guys like me
Scream my name so the neighbors can hear
You can consider this evidence
Consider this evidence
A fucking nightmare
This is a fucking nightmare
And no amount of your screaming will ever wake you up
There was a bloodbath in this very room
A work of art that will be whispered about
I changed her from her neighbor's wet dream into his nightmare
She died a filthy whore
And the look on her face was fear
Destroy
Her body was destroyed
Just like your eyes being blown out from the inside"
454,ML455,Skinny Puppy,Assimilate,angry,"Oil remove
Shred tear
Radiation vapor air
It's the fear
So unclear
Man in motion
Going nowhere
In our homes
Stuck in the face
Spread the dirt to populace
Yellow journal yellow journal
Set the pace feel the rage
Manifestations of a sword
So insidious off the point
Simple solution
Never confusion
Sport a gun kill a cop
Crazy world of weary thought
So receive me had enough
Lock me up
Lock me up

Rot and assimilate
Hot to annihilate
(Tear your face)
Rot and assimilate
So hot to annihilate
(Hit with mace)

""Is it safe?""

Deviation tonic mess
Prolonged existence innocence
See he who speaks
Isn't weak
Wheelchair future so to speak
Bubonic plague
The truth of AIDS
Community avoid decay
In the trench of pestilence
The bible screams
Announce your faith
Mutterings of death to bring
Suffocate a new born thing
Degradation of an age
Venereal
It's all sensation
Protect design
The moral plan
Infallible
As propaganda
Completely black
With no steps back

Hot to Assimilate
(?) (Go nowhere)
Rot or Annihilate
(Tell yourself)
Hot to assimilate
(Search your soul)
We'll rot or annihilate

Agony
Inner thinking brain
Clanking change
Growing pain

""Is it safe?""

Bloodshot

Mutterings of death to bring
Suffocate a new born thing
Degradation of an age
Venereal
It's all sensation
Protect design
The moral plan
Infallible
No propaganda
Completely black
With no steps back
Agony profusely stains
The inner thinking of the brain
Accusations, clanking change
Experiments with groans of pain
It's all preferred that no one blames
The terror in an animal screams
In cages our future
The answer's insane

Rot and assimilate
(Grow up)
So hot to annihilate
(Hide your truth)
Each adds assimilate
Rot and assimilate
(Each one assimilates)
So hot to annihilate
Reach for an air way
Death death death..."
455,ML456,Hope of the States,Me Ves Y Sufres,sad,"I've got no good in me
For anybody
I've been ruined by the lies
I told to everybody.
It's so desperately sad
That my life has come to this.
I hope there's something better
Than this for me.

I used to think
I had something to say.
But my dumb ideologies
Gave me away.
I keep my mouth shut
But it's always the same
Over and over and over again.

Today I am wrong again
But it's not surprising.
Once more heaven
Has forgotten me.
So everybody
Clap your hands together for me,
As I watch my world collapse.
Don't waste your sympathy on me
Because I made it all up.

I used to think
I had something to say.
But my dumb ideologies
Gave me away.
I keep my mouth shut
But it's always the same
Over and over and over again.

My mistakes happen
So much it's successs
But I drag you all down
Into my sorry mess.
I said I was sorry but
It's always the same
Over and over and over again.

I have been doomed
From the first time I tried
To find something to save me
From all of my lies.
I'm always fake
And it's always the same
Over and over and over and over again."
456,ML457,Rammstein,Nebel,sad,"Sie stehen eng umschlungen
Ein Fleischgemisch so reich an Tagen
Wo das Meer das Land berührt
Will sie ihm die Wahrheit sagen

Doch ihre Worte frisst der Wind
Wo das Meer zu Ende ist
Hält sie zitternd seine Hand
Und hat ihn auf die Stirn geküsst

Sie trägt den Abend in der Brust
Und weiß dass sie verleben muss
Sie legt den Kopf in seinen Schoß
Und bittet einen letzten Kuss

Und dann hat er sie geküsst
Wo das Meer zu Ende ist
Ihre Lippen schwach und blass
Und seine Augen werden nass
Und dann hat er sie geküsst
Wo das Meer zu Ende ist
Ihre Lippen schwach und blass
Und seine Augen werden nass

Und dann hat er sie geküsst
Wo das Meer zu Ende ist
Ihre Lippen schwach und blass
Und seine Augen werden nass
Und dann hat er sie geküsst
Wo das Meer zu Ende ist
Ihre Lippen schwach und blass
Und seine Augen werden nass

Der letzte Kuss ist so lang her
Der letzte Kuss
Er erinnert sich nicht mehr"
457,ML458,The White Stripes,My Doorbell,happy,"I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I been thinkin' about my doorbell
Oh, well

Well, women are chippin' me kisses, not the man in my life I know
And I been goin' to Mystery Miss, I respect the art at the show
Take back what you said, little girl
And while you're at it take yourself back, too
Well, I'm tired of sitting and waiting
And woman, whatcha' gonna do now, whatcha' gonna do about it?

Yeah, I'm thinkin' about the doorbell
When ya gonna ring it, when ya gonna ring it? Oh
I'm thinkin' about the doorbell
When ya gonna ring it, when ya gonna ring it, oh?
I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I been thinkin' about my doorbell
Oh, well

You don't seem to come around
Point your finger and make a sound
You don't seem to come around
Knock-knock since you knocked it down

Oh, well

Make a sound and I'll make you feel right
Right at home, yeah
Yeah, right at home, yeah

Now you got me waitin' in pain
But how come it's so easy to you?
You don't strike me as the type to be careless
But your words seem so obtuse

But then again, I know you feel guilty
And you tell me you want me again
But I don't need any of your pity
I got plenty of my own friends
They're all above me

And I've been thinkin' about the doorbell
When they gonna ring it, when they gonna ring it?
Yeah, I've been thinkin' about the doorbell
When they gonna ring it, when they gonna ring it? Oh
I've been thinkin' about the doorbell
When they gonna ring it, when they gonna ring it?
Yeah, I been thinkin' about the doorbell
Oh, well

They don't seem to come around
Push the finger and make a sound
They don't seem to come around
Maybe three, they'll knock 'em down

Oh, well

Make a sound and I'll make you feel right
Right at home
Right at home

I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I been thinkin' about my doorbell
And when you're gonna ring it, when you're gonna ring it

I'm thinkin' about my doorbell
When ya gonna ring it, when ya gonna ring it?
Yeah, I'm thinkin' about my doorbell
Oh, oh well"
458,ML459,AC/DC,Down Payment Blues,angry,
459,ML460,Goldfrapp,Utopia,relaxed,"It's a strange day
No colours or shapes
No sound in my head
I forget who I am
When I'm with you
There's no reason
There's no sense
I'm not supposed to feel
I forget who I am
I forget
Fascist baby
Utopia, utopia
My dog needs new ears
Make his eyes see forever
Make him live like me
Again and again
I'm wired to the world
That's how I know everything
I'm super brain
That's how they made me"
460,ML461,Dead Kennedys,Your Emotions,angry,"Your mommy told you this and your daddy told you that
Always think like this and never do that
You learned so many feelings but what is there to that?
Which are really yours or are you just a copycat?

Your school told you this and your church told you that
Memorize this and don't you dare look at that
(Incomprehensible)
Just a tape recorder mimicking of the bores

You're so boring, boring, boring
Always tape machine recording
You're so boring, boring, boring
I've heard all this before

Planless and mindless, scraps from anywhere
Bunch of used parts from garbage pails everywhere
Frankenstein became a monster just like you
Your scars only show when someone talks to you

You're so boring, boring, boring
Always tape machine recording
You're so boring, boring, boring
I've heard all this before, heard all this before, heard all this before

Your emotions make you a monster
Your emotions make you a monster
Your emotions make you a monster
Your emotions make you a monster"
461,ML462,Jim Brickman,Angel Eyes,relaxed,"I am amazed
When I look at you
And see your angel eyes
It's like a dream come true
They are so blue... and I'm so in love with you.

Sometimes it's so hard to believe
That it is time to leave
But never let me go
I love you so...

You are the love of my life
I'm so glad you're here
You are the love of my life
Put your arms around me
And tell me what you hear

I wish I didn't have to go
But I just want to let you know
That I will always be here
Now please dry that tear
I will never be far
I love you more then my car.

Now all I see is your angel eyes.
They shine just like the sea.

I will never let you go
I'll hold you till it snows.
But you might wanna know
That here comes the snow.

And now as I drive away
The snow is getting really thick
So I turn around and drive
Back to your arms and sing...

You are the love of my life
I won't let you go
You are the love of my life
Even if it snows
I'll be here till it goes.

And now the day is ending
I wish I could stop the time
But since I can not I must
Give you one last hug and
Look in your eyes
One... last... time."
462,ML463,Sarah Blasko,For You,relaxed,"I've learnt a lot about you
In turn much about me too
I travelled across the sea
I wept for you

Emotions run deep
Between us friend
The time will come
For us again

We're tired, we're tired now
This ship almost ran a ground
We'll lie and rest now
I'll dream of you

Emotions run deep
Between good friends
But I do believe
In us again

I've heard, I've heard it said
That love, real love has no end
A cup overflowing now
I will believe, I must believe"
463,ML464,Yelle,Je Veux Te Voir (Club-Club Version),happy,"Cuizinier avec ton petit sexe entouré de poils roux
Je n'arrive pas à croire que tu puisses croire qu'on veuille de toi
Je n'y crois pas même dans le noir,
Même si tu gardes ton pyjama
Même si tu gardes ton peignoir,
En forme de tee-shirt ringard
Garde ta chemise ça limitera les dégâts, bâtard.

Je veux te voir
Dans un film pornographique
En action avec ta bite
Forme potatoes ou bien frites
Pour tout savoir
Sur ton anatomie
Sur ton cousin Teki
Et vos accessoires fêtiches

Cuizi' c'est quoi
Ta position favorite
Tes performances olympiques
Mais tu n'as rien d'orgasmique
Tu es tout nu
Sous ton tablier
Prêt a dégainer
Mais je t'avoue rien n'y fait

Tu rêves d'un Hummer fluo
Dessiné par Akroe
Mais tu n'as pas le permis
Tu prends toujours le métro

Superstar d'un soir ta vie redevient normale après
Pas besoin de lunettes noires pour te cacher
personne te reconnaît
Ta carte verte t'attend mec
C'est pas des paroles en l'air
J'ai réussi à t'en faire
Une avec mon scanner
L'entrée est gratuite ce soir
C'est le seul moyen pour qu'on vienne
Alors les filles on se promène
Ouais on va aux Chippendales
On n'avait pas prévu de passer la soirée avec des rigolos
On voulait voir des pectoraux, des mecs montés comme des taureaux

Tes posters de Lil'Jon recouvrent ceux de Magic Jonhson
Ton corps est trop crunk pour assurer les dunks

Cuizinier c'est toi que je veux voir
Que je veux voir ce soir
Te faire ridiculiser par une fille qui rappe mieux que toi
J'ai pas assez de mes 10 doigts pour les compter dans la salle
Toutes ces filles coiffées comme moi
qui savent ce que tu vaux à poil"
464,ML465,Adema,Rip The Heart Out Of Me,angry,"I woke up this morning and knew
That the world would test me
Come unglued
Is it me or do you feel my pain
This world makes my blood boil again


You rip the heart out of me
Rip the heart of me
You're making what he said
You rip the heart out of me
Rip the heart of me
Control and deceive me
You rip the heart out of me
Rip the heart of me

I try everything to please you
Gone out of my way like a fool
What makes me break down like a bitch
It's so hard to grow out of this ditch

You rip the heart out of me
Rip the heart of me
You're making what he said
You rip the heart out of me
Rip the heart of me
Control and deceive me
You rip the heart out of me
Rip the heart of me
You rip the heart out of me
Rip the heart of me
You're making what he said
You rip the heart out of me
Rip the heart of me
Control and deceive me
You rip the heart out of me
Rip the heart of me"
465,ML466,The Romantics,When I Look In Your Eyes,happy,"When I look in your eyes
I get a feeling that I can't describe
It can't be wrong
No, no
Not when a feeling's comin' on this strong

Now I'm wonderin' why
I feel so good inside
When I look in your eyes

When you tell me you're mine
You send a shiver runnin' up and down my spine
Could this be love
'Cause you're the girl I've been dreamin' of now

I'm wonderin' why
I feel so good inside
When I look in your eyes
When I look in your eyes

When I get you alone
It's so much different from the telephone
Don't let me go
No no
Just want to hold you like I told you so now

I'm wonderin' why
I feel so good inside
When I look in your eyes
When I look in your eyes"
466,ML467,Murderdolls,Dead in Hollywood,angry,"Hey Frankenstein, what's on your mind?
Hey Dracula, I heard you suck
Now Vincent Price was Dr. Phibes
Come steal my brain, Fritz
And take it to Doctor Frankenstein

Well. you can knock on Ed Wood
But it won't do you no good
(No, no, no, no good)
'Cause all of my heroes are dead in Hollywood

Hey Norman Bates, how are your rates?
Hey Leatherface, remove my face
Hey Tall Man, just take my hand
And lead me to your red planet

Well. you can knock on Ed Wood
But it won't do you no good
(No, no, no, no good)
'Cause all of my heroes are dead in Hollywood

You're so dead in, dead in Hollywood
Dead, you're so dead in, dead in Hollywood

D.E.A.D.
That's how I wanna be

Well, you can knock on Ed Wood
But it won't do you no good
(No, no, no, no good)
'Cause all of my heroes are dead in Hollywood

You're so dead in, dead in Hollywood
Dead, you're so dead in, dead in Hollywood
Dead, you're so dead in, dead in Hollywood
Dead, you're so dead in, dead in Hollywood

Whoa, dead in Hollywood
Whoa, dead in Hollywood
Whoa, dead in Hollywood
Whoa"
467,ML468,Devo,(I Can't Get No) Satisfaction,angry,"I can't get no satisfaction
I can't get me no satisfaction
And I try and I try and I try, t-t-t-try, try, try
I can't no, I can't get me no

When I'm riding in my car
And a man comes on the radio
He's tellin' me more and more
About some useless information
Supposed to fire my imagination

I can't get no
No, no, no
Hey, hey, hey
That's what I say

I can't get no satisfaction
I can't get me no girl reaction
And I try and I try and I try, t-t-t-try, try, try
I can't no, I can't get me no

When I'm watchin' my TV
And a man comes on to tell me
How white my shirts could be
But he can't be a man 'cause he does not smoke
The same cigarettes as me

I can't get no
No, no, no
Hey, hey, hey
That's what I say

And when I'm flying 'round the world
And I'm doin' this and I'm tryin' to do that
And I'm trying to make some girl
Who tells me
Baby, baby, baby, baby, baby, baby, baby, baby
Baby, baby, baby, baby, baby, baby, baby, baby
Baby, baby, baby, baby, baby, baby, baby, baby
Baby, baby, baby, baby, baby, baby, baby, baby
Baby, baby
Better come back later next week
Can't you see I'm on a losing streak?

I can't get no
No, no, no
Hey, hey, hey
That's what I say

I can't get no (satisfaction)
I can't get me no (satisfaction)
I can't get no (satisfaction)
I can't get me no (satisfaction)
A-no, no, no, I can't get no (satisfaction)
A-no, no, no, I can't get me no (satisfaction)
A-no, no, no, no, no, no, no, no (satisfaction)
A-n-n-n-n-n-n-no, no (satisfaction)
A-n-n-n-n-n-n-no, no (satisfaction)
A-n-n-no, I can't get me no (satisfaction)
Well, I can't get no (satisfaction)"
468,ML469,Exploited,Exploited Barmy Army,angry,"We're the exploited barmy army, don't threaten us

E-X-P-L-O-I-T-E-D

Don't mess, with the barmy army
Don't fight, with the barmy army
Don't stare, at the barmy army
Don't mess, with the barmy army

E-X-P-L-O-I-T-E-D

Don't mess, with the barmy army
Don't fight, with the barmy army
Don't stare, at the barmy army
Don't mess, with the barmy army"
469,ML470,Midge Ure,Somebody,sad,"Somebody
Somebody to lay your head on

I've been around the world
To look for love from many souls
But at the wrong time
Searching for these vague elusive things
To keep and save
To ease my sad, sad mind

And I can belong
I can be anything I need
If only I had known
I'd face this world alone

Somebody
Somebody to lay your head on
Somebody
Somebody to lay your head on

Lying with my face away
From every pressure
Every day you'll find me
Clinging tightly to the stronger thoughts
The clearer picture
Friendly spots around me

And I could be loved
And I could be happy
If only I had known
I'd take these steps alone

Somebody
Somebody to lay your head on
Somebody
Somebody to lay your head on

If there's life beyond the daily grind
A vision for a broken mind
Can't find it
Fall from heaven, fall from grace
Come shelter in my barren place
Re-find it

A search for beauty
Search for friendship
Search for meaning in it all
If only I had known
I'd walk this world alone

Somebody
Somebody to lay your head on
Somebody
Somebody to lay your head on..."
470,ML471,Qntal,Remember Me,sad,"Remember me

When I am laid
Am laid in earth
May my wrongs create
No trouble, no trouble in thy breast

Remember me, remember me
But, ah, forget my fate!
Remember me, but, ah, forget my fate!"
471,ML472,Bob Dylan,Gotta Serve Somebody,relaxed,"You may be an ambassador
To England or France
You might like to gamble
You might like to dance
You may be the heavyweight
Champion of the world
You might be a socialite
With a long string of pearls

But you're gonna have to serve somebody
Yes indeed, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

Might be a Rock-n-roll addict
Prancing on the stage
Money, Drugs at your command
Women in a cage
You may be a businessman
Or some high degree thief
They may call you doctor
Or they may call you chief

But you're gonna have to serve somebody
Yes you are, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

You may be a state trooper
You might be a young tough
You may be the head
Of some big TV network
You may be rich or poor
You may be blind or lame
Maybe livin' in another Country
Under another name

But you're gonna have to serve somebody
Yes you are, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

Maybe a construction worker
Workin' on a home
Might be livin' in a Mansion
You might live in a dome
You may own guns
And you may even own tanks
You may be someone's landlord
You may even own banks

But you're gonna have to serve somebody
Yes, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

You may be a Preacher
Preaching Spiritual Pride
Maybe a City Councilman
Takin' bribes on the side
Maybe working in a Barbershop
You may know how to cut hair
You may be somebody's mistress
Maybe somebody's heir

But you're gonna have to serve somebody
Yes, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

Might like to wear cotton
Might like to wear silk
Might like to drink whiskey
Might like to drink milk
Might like to eat caviar
You might like to eat bread
Maybe sleeping on the floor
Sleepin' in a king-size bed

But you're gonna have to serve somebody
Yes indeed, you're gonna have to serve somebody
Well it may be the Devil
Or it may be the Lord
But you're gonna have to serve somebody

You may call me Terry
You may call me Timmy
You may call me Bobby
Or you may call me Zimmy
You may call me RJ
You may call me Ray
You may call me anything
No matter what you say

You're still gonna have to serve somebody
Yes, you're gonna have to serve somebody
Well it may be the Devil
And it may be the Lord
But you're gonna have to serve somebody

Oh Yeah
Serve Somebody"
472,ML473,Clawfinger,Nothing Going On,angry,"I've been around the world I've got a hit in the charts
I've become quite famous But I ain't got no heart
I've got expensive clothes and lots of money to waste
I've got the luxury lifestyle but I ain't got no taste

Nothing going on nothing going on
I've got a whole lot of nothing
Nothing going on

I know all the right people, I've got the perfect smile
I've got the worlds best timing, but I ain't got no style
I've got a great big mansion, I've got a beautiful wife
I've got a black rolls royce, but I've got no life

Nothing going on nothing going on
I've got a whole lot of nothing
Nothing going on
Nothing going on
Nothing going right, nothing going wrong
I've got a whole lot of nothing
Nothing going on
Nothing going on nothing going on
I've got a whole lot of nothing
Nothing going on

I've got a personal trainer, I ride a limousine
I've got a big bank account, but I ain't got no dreams
I've got a private plane, the best of everything
I've got a lifestyle to live, but no message to sing

Nothing going on nothing going on
I've got a whole lot of nothing
Nothing going on
Nothing going on
Nothing going right, nothing going wrong
I've got a whole lot of nothing
Nothing going on
Nothing going on nothing going on

I've got a whole lot of nothing
Nothing going on
Nothing going on
Nothing going on"
473,ML474,Blue Six,Sweeter Love,relaxed,"There'll come a time when you know just what you feel
I'm dancing inside, that you know just what is real
Here in the sound there's a magic in the air
You've got to let it out, let it show you really care

Sweet sweet sweet love
I need your sweet sweet love

If it's all right, there is something here to dream
Now that you've for a heaven, could you find it here with me?
Deep down inside I know you feel the way that I do
No need to live without, the sweeter love I found in you

Come down, take a look around
There's a sweeter love
Take me there, take me down
You've got nothing to be guilty of
Of sweeter love
Let it out
Let it out

Come down, take a look around
There's a sweeter love
Take me there, take me down
You've got nothing to be guilty of
Of sweeter love
Let it out
Let it out"
474,ML475,Spiritualized,Let It Flow,relaxed,"Here it comes and then it goes
And that feeling takes me home
And I don't know where I'm goin'
Let it flow
All I wanted was a taste
Just enough to waste the day
Just enough to make me sick
Let it flow

And it takes up all my time
And it lays me back a while
Makes me feel like I'm a child


Let it flow
Let it flow

Here it comes an then it goes
And it hits me, takes me home
I don't know where I'm goin'
And I don't know where I've been
But I'd do it all again
All I wanted was a taste
Enough to waste a day
Just enough to make me sick
I can't get too much of it"
475,ML476,Alexisonfire,You Burn First,angry,"I said, ""Cover me if there is a fire,
'Cause I want you to burn first.""
She screamed at me, ""I want to be desired.""
I said, ""Easy girl, I know it hurts""

Let's all give thanks that I am a liar,
'Cause I've got a feeling I just might get worse.
Now there's nothing wrong with you,
I'm just tired.
And I'm in a mood for a brand new curse.

You burn first,
You burn first,
You burn first,
You burn first.

Cover me if there is a fire,
'Cause I want you to burn first.
She screamed at me, ""I want to be desired.""
Easy girl, I know it hurts

Let's all give thanks that I am a liar,
'Cause I've got a feeling I just might get worse.
Now there's nothing wrong with you,
I just grow tired.
And I'm in the mood for a brand new curse."
476,ML477,Ice Cube,Dirty Mack,angry,"There's a new girl on my street
And I might introduce her to mack me
Told my homeboy I was scoping hoping
To crack them legs wide open
Ready to break that banging ass
Get it with the shad
Take a bath in her mouth yeah
Better keep the trojan
And if the sex was good still be the whole frame
Fucked around and told my plan to the man
Sitting next to the god damn men
How was I to know son
That the nigg' blow with one and told the 4-1-1
With a big fat grand
Talking 'bout all the whores that I ran up in
Broke a nigga plan like dishes
'Cause now the bitch is getting suspicious
She know I fuck whores outa habit
Who framed Cube, mothafuck Roger Rabbit!
'Cause I couldn't have and got stabbed in the back
By a black ass dirty mack...

And if you didn't know it's like that
I got a big fat gat for the dirty mack
Yeah nigga didn't you know it was like that
I got a big fat gat for the dirty mack...

There goes the bill-board pull it
And see up I'm still #1 with the bullet
What the fuck do I sing?
It looks like the Predator
It's gettin' dissed by the editor
Looked up and hell of white for caper
It's to lynch a nigga on paper
But I'm much too black for the god damn cracker
Huh! Dirty Macker
Even the Guardian Angel got mental
But never seen their ass walking past South Central
Little super hair oh don't lemme catcha
I fuck around and wetcha
Try to dirty mack me out
Try to take food out my kids mouth
You're looking at my people are stronger than your evil
All you ask where they got the hip hop
At the dope the 187 taxi on your toe
So act like you know
That nigga that's known to jack
Devils in little red hats
Motherfuckin dirty macks!

Don't come to an O.G., with that 'he said she said'
Bitch, hit the freeway, dirty mack's get tossed
'Cause I fuck around, and jump your ass like Kris Kross
Just might blast, snake in the grass
Gotta shake up the ass
Found at a trunk of funk
Tall and stiff as a philly blunt
What more do you want you unfucked up the plot
And deserve just what you got
'Cause I'm hotter than tabasco
You little ass hole
Mow I gotta do you like grass chow
PKO now you see they flow on cannabis
Cause you scandalous
Don't know who the man is
Ice Cube a jack
The white ass Dirt Mack

And if you didn't know it's like that
I got a big fat gat for the dirty mack
Yo Savage didn't you know it was like that
I got a big fat gat for the dirty mack
I suppose you don't know it's like that
I got a big fat gat for the dirty mack..."
477,ML478,Beastie Boys,Time for Livin',angry,"Yeah, that's right
It's time to set the record straight

Ain't nobody got to spell it for me
Ain't nobody got to yell I can see
Ain't nobody got the pain I can hear
But if I have to I'll yell in your ear

Time for living, time for giving
Time for living, time for giving
Time for living, time for giving
Time for living, time for giving

Check this out

Ain't nobody to to spell it for me
I said ain't nobody got to yell I can see
I said ain't nobody got the pain I can hear
But if I have to I'll yell in your ear

Soul fire
Soul fire
And we ain't got no water
We don't have no water

Time for living, time for giving
No time for making up a monster to sell
Time for living, time for giving
No time for breakin' out a lie to sell"
478,ML479,"Loney, dear",Sinister in a State of Hope,relaxed,"Sinister, in a state of hope, summer night bring me cold
Someway I let it happen, in a flash, in a flash
Star of hope shining out there
So the night brought all cold
When all I want, all I want, is a state of hope, with all I want
Summer night, and I did not hope, for something I couldn't have. You turn me down, let it happen, with your hands, with your hands
Someway I let it happen, in a flash, in a flash, when all I want I want, is a state of hope
When all I want is a state of hope"
479,ML480,Kraak & Smaak,Squeeze Me,happy,"But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.

You make me feel so nice, when I'm around with you
Wake up in the mornin' and I will spend my whole life with you
The sweetness of your smile helps away with all of my fears.

If it should all go wrong our lives'll come to tears
Iv never been so deep into anyone else but you
A place within my heart
Never been so close to you.
And if you want me to hang around then I'll never let go
Ill give you all my time, stick around with you for sure

But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.
But you make everything all right, when you hold and you squeeze me tight.

If this should all come true, I'ma give my heart to you
To keep safe in your arms like I know that you want me to.
It gives me so much joy that I can call you all of mine
Oh will it all work out, we'll I see just give it time.
And if it all goes right looking down from a birds eye view,
I'll see my life made good from the time that I spent with you

I'll give you anything and everything will work out fine
So I can trust in you because you give me peace of mind.

Cause you are all I want, and you are all I need
Cause you are all I want...
Cause you are all I want, and you are all I need
'Cause you are all I want...

You take me by the hand, because I'm your only man, because I'm your only man, because I'm.

'Cause you make everything all right, when you hold and you squeeze me tight
'Cause you make everything all right, when you hold and you squeeze me tight
'Cause you make everything all right, when you hold and you squeeze me tight
'Cause you make everything all right, when you hold and you squeeze me tight

I'll do anything for you
You'll do anything for me
I'll do anything for you keep on telling me keep on using me
I'll do anything for you
You'll do anything for me
I'll do anything for you keep on using me keep on using me
I'll do anything for you
You'll do anything for me
I'll do anything for you keep 'n' telling me keep on using me"
480,ML481,Violent Femmes,Kiss Off,angry,"I need someone, a person to talk to
Someone who'd care to love
Could it be you?
Could it be you?

The situation gets rough, and I start to panic
It's not enough, it's just a habit
And, kid, you're sick
Well, darling, this is it

Well, you can all just kiss off into the air
Behind my back, I can see them stare
They'll hurt me bad, but I won't mind
They'll hurt me bad, they do it all the time (yeah, yeah!)
Yeah, they do it all the time (yeah, yeah!)
They do it all the time (do it all the time!)
They do it all the time (do it all the time!)
They do it all the time, do it all the time

I hope you know that this will go down on your permanent record!
Oh, yeah? Well, don't get so distressed
Did I happen to mention that I'm impressed?

I take one, one, one 'cause you left me
And two, two, two for my family
And three, three, three for my heartache
And four, four, four for my headaches
And five, five, five for my lonely
And six, six, six for my sorrow
And seven, seven for no tomorrow
And eight, eight, I forget what eight was for
But nine, nine, nine for the lost gods
Ten, ten, ten, ten for everything, everything, everything

Well, you can all just kiss off into the air
Behind my back, I can see them stare
They'll hurt me bad, but I won't mind
They'll hurt me bad, they do it all the time (yeah, yeah!)
Yeah, they do it all the time (yeah, yeah!)
They do it all the time (do it all the time!)
They do it all the time (do it all the time!)
They do it all the time, do it all the time, do it all the time"
481,ML482,Bernard Fanning,Shelter For My Soul,sad,"At the end of my days when I'm called to go, 
Into the open arms of the Holy Ghost, 
To have lived such a life as I have known, 
Fortune follows me, but I'm brave no more. 

For my great mistakes I will surely pay, 
I'm running low and the devil is on my trail, 
When fate delivers me all I'll ask it for, 
Is a place to rest and shelter for my soul. 

Oh if I could spend my days, 
Free from the prison of your gates, 
Then I could die a happy man. 

Oh if I could spend my days, 
Free from the shadow of my name, 
Then I could die happy man. 

When I am released from this mortal load, 
I'll take my leave but I don't wanna go. 
When fate delivers me all I'll ask it for, 
A place to rest and shelter for my soul."
